"","doi","page","author","title"
"354","law-et-al-2021-biased-benevolence-the-perceived-morality-of-effective-altruism-across-social-distance.pdf",17,"Kyle Fiore Law, Dyla...","Biased Benevolence: The Perceived Morali..."
"355","leckelt-et-al-2019-a-longitudinal-field-investigation-of-narcissism-and-popularity-over-time-how-agentic-and.pdf",9,"Marius Leckelt, Kath...","A Longitudinal Field Investigation of Na..."
"356","lee-et-al-2017-i-through-we-how-supportive-social-relationships-facilitate-personal-growth.pdf",6,"David S. Lee, Oscar ...","I-Through-We: How Supportive Social Rela..."
"358","legate-et-al-2017-daily-autonomy-support-and-sexual-identity-disclosure-predicts-daily-mental-and-physical-health.pdf",1,"Nicole Legate, Richa...","Daily Autonomy Support and Sexual Identi..."
"359","leong-et-al-2019-is-gratitude-always-beneficial-to-interpersonal-relationships-the-interplay-of-grateful-disposition.pdf",12,"Joyce L. T. Leong, S...","Is Gratitude Always Beneficial to Interp..."
"361","li-edwards-2020-the-relationship-between-system-justification-and-perspective-taking-and-empathy.pdf",11,"Zheng Li and John A....","The Relationship Between System Justific..."
"362","li-et-al-2019-stepping-into-perpetrators-shoes-how-ingroup-transgressions-and-victimization-shape-support-for.pdf",15,"Mengyao Li, Bernhard...","Stepping into Perpetrators Shoes: How I..."
"363","li-et-al-2021-the-neural-basis-linking-achievement-motivation-with-procrastination-left-precuneus-connectivity-with.pdf",3,"Yuhua Li, Libin Zhan...","The Neural Basis Linking Achievement Mot..."
"364","li-rao-2019-do-people-believe-that-they-are-more-deontological-than-others.pdf",3,"Ming-Hui Li and Li-L...","Do People Believe That They Are More Deo..."
"366","lifshin-et-al-2017-the-evil-animal-a-terror-management-theory-perspective-on-the-human-tendency-to-kill-animals.pdf",2,"Uri Lifshin, Jeff Gr...","The Evil Animal: A Terror Management The..."
"374","light-et-al-2017-self-uncertainty-and-the-influence-of-alternative-goals-on-self-regulation.pdf",1,"Alysson E. Light, Ki...","Self-Uncertainty and the Influence of Al..."
"380","lin-oyserman-2020-upright-and-honorable-people-use-space-to-understand-honor-affecting-choice-and-perception.pdf",1,"Ying Lin and Daphna ...","Upright and Honorable: People Use Space ..."
"386","liu-et-al-2018-effects-of-cultural-tightness-looseness-and-social-network-density-on-expression-of-positive-and.pdf",14,"Pan Liu, David Chan,...","Effects of Cultural TightnessLooseness ..."
